D:, L:, R:, ciclos:, accesos:, ciclos/acc:
1, 384, 3065, 217020, 122600, 1.770147
1, 1152, 9209, 652448, 368360, 1.771224
1, 10240, 81913, 5835022, 3276520, 1.780860
1, 15360, 122873, 8764382, 4914920, 1.783220
1, 40960, 327673, 23375036, 13106920, 1.783412
1, 81920, 655353, 46660924, 26214120, 1.779992
1, 163840, 1310713, 93435982, 52428520, 1.782159
2, 384, 1533, 108702, 61320, 1.772701
2, 1152, 4605, 326774, 184200, 1.774017
2, 10240, 40957, 2921348, 1638280, 1.783180
2, 15360, 61437, 4382650, 2457480, 1.783392
2, 40960, 163837, 11699416, 6553480, 1.785222
2, 81920, 327677, 23386154, 13107080, 1.784238
2, 163840, 655357, 46757486, 26214280, 1.783665
4, 384, 767, 54658, 30680, 1.781551
4, 1152, 2303, 164152, 92120, 1.781937
4, 10240, 20479, 1467090, 819160, 1.790969
4, 15360, 30719, 2212852, 1228760, 1.800882
4, 40960, 81919, 5879850, 3276760, 1.794410
4, 81920, 163839, 11765376, 6553560, 1.795265
4, 163840, 327679, 23480584, 13107160, 1.791432
8, 384, 384, 27432, 15360, 1.785937
8, 1152, 1152, 83098, 46080, 1.803342
8, 10240, 10240, 737356, 409600, 1.800186
8, 15360, 15360, 1131514, 614400, 1.841657
8, 40960, 40960, 3100766, 1638400, 1.892557
8, 81920, 81920, 6058644, 3276800, 1.848951
8, 163840, 163840, 12007060, 6553600, 1.832132
16, 384, 384, 27708, 15360, 1.803906
16, 1152, 1152, 82964, 46080, 1.800434
16, 10240, 10240, 874614, 409600, 2.135288
16, 15360, 15360, 1202158, 614400, 1.956637
16, 40960, 40960, 3225714, 1638400, 1.968820
16, 81920, 81920, 6578570, 3276800, 2.007620
16, 163840, 163840, 17992696, 6553600, 2.745468
32, 384, 384, 27962, 15360, 1.820443
32, 1152, 1152, 83318, 46080, 1.808116
32, 10240, 10240, 937342, 409600, 2.288433
32, 15360, 15360, 1297824, 614400, 2.112344
32, 40960, 40960, 3414836, 1638400, 2.084250
32, 81920, 81920, 7983252, 3276800, 2.436295
32, 163840, 163840, 28110206, 6553600, 4.289277
64, 384, 384, 28252, 15360, 1.839323
64, 1152, 1152, 87310, 46080, 1.894748
64, 10240, 10240, 854376, 409600, 2.085879
64, 15360, 15360, 1250444, 614400, 2.035228
64, 40960, 40960, 3934098, 1638400, 2.401183
64, 81920, 81920, 14527726, 3276800, 4.433510
64, 163840, 163840, 32436728, 6553600, 4.949452
128, 384, 384, 28386, 15360, 1.848047
128, 1152, 1152, 103420, 46080, 2.244358
128, 10240, 10240, 862224, 409600, 2.105039
128, 15360, 15360, 1227168, 614400, 1.997344
128, 40960, 40960, 6777268, 1638400, 4.136516
128, 81920, 81920, 13981510, 3276800, 4.266818
128, 163840, 163840, 29106490, 6553600, 4.441298
256, 384, 384, 28816, 15360, 1.876042
256, 1152, 1152, 116370, 46080, 2.525391
256, 10240, 10240, 962992, 409600, 2.351055
256, 15360, 15360, 2501344, 614400, 4.071198
256, 40960, 40960, 7930140, 1638400, 4.840173
256, 81920, 81920, 16004882, 3276800, 4.884302
256, 163840, 163840, 32098552, 6553600, 4.897850
512, 384, 384, 37652, 15360, 2.451302
512, 1152, 1152, 109008, 46080, 2.365625
512, 10240, 10240, 2212600, 409600, 5.401855
512, 15360, 15360, 3492912, 614400, 5.685078
512, 40960, 40960, 9250066, 1638400, 5.645792
512, 81920, 81920, 18543074, 3276800, 5.658897
512, 163840, 163840, 36832284, 6553600, 5.620161
1024, 384, 384, 40640, 15360, 2.645833
1024, 1152, 1152, 108702, 46080, 2.358984
1024, 10240, 10240, 2487856, 409600, 6.073867
1024, 15360, 15360, 3821690, 614400, 6.220199
1024, 40960, 40960, 9987304, 1638400, 6.095767
1024, 81920, 81920, 19903926, 3276800, 6.074196
1024, 163840, 163840, 39938592, 6553600, 6.094146
2048, 384, 384, 35258, 15360, 2.295443
2048, 1152, 1152, 164474, 46080, 3.569314
2048, 10240, 10240, 2617668, 409600, 6.390791
2048, 15360, 15360, 4156442, 614400, 6.765042
2048, 40960, 40960, 10718718, 1638400, 6.542186
2048, 81920, 81920, 21382288, 3276800, 6.525356
2048, 163840, 163840, 43314948, 6553600, 6.609337
4096, 384, 384, 34380, 15360, 2.238281
4096, 1152, 1152, 214664, 46080, 4.658507
4096, 10240, 10240, 2553280, 409600, 6.233594
4096, 15360, 15360, 3933398, 614400, 6.402015
4096, 40960, 40960, 10250738, 1638400, 6.256554
4096, 81920, 81920, 20738150, 3276800, 6.328781
4096, 163840, 163840, 42002044, 6553600, 6.409003
8192, 384, 384, 44780, 15360, 2.915365
8192, 1152, 1152, 343220, 46080, 7.448351
8192, 10240, 10240, 3430684, 409600, 8.375693
8192, 15360, 15360, 5120516, 614400, 8.334173
8192, 40960, 40960, 13966878, 1638400, 8.524706
8192, 81920, 81920, 27474948, 3276800, 8.384689
8192, 163840, 163840, 55909162, 6553600, 8.531061
