D:, L:, R:, ciclos:, accesos:, ciclos/acc:
1, 384, 3065, 217002, 122600, 1.770000
1, 1152, 9209, 652502, 368360, 1.771370
1, 10240, 81913, 5825438, 3276520, 1.777935
1, 15360, 122873, 8738414, 4914920, 1.777936
1, 40960, 327673, 23335412, 13106920, 1.780389
1, 81920, 655353, 46700200, 26214120, 1.781490
1, 163840, 1310713, 93281836, 52428520, 1.779219
2, 384, 1533, 108802, 61320, 1.774331
2, 1152, 4605, 326840, 184200, 1.774376
2, 10240, 40957, 2916026, 1638280, 1.779931
2, 15360, 61437, 4375706, 2457480, 1.780566
2, 40960, 163837, 11674674, 6553480, 1.781446
2, 81920, 327677, 23388562, 13107080, 1.784422
2, 163840, 655357, 46762878, 26214280, 1.783870
4, 384, 767, 54588, 30680, 1.779270
4, 1152, 2303, 175104, 92120, 1.900825
4, 10240, 20479, 1465290, 819160, 1.788771
4, 15360, 30719, 2208372, 1228760, 1.797236
4, 40960, 81919, 5907594, 3276760, 1.802877
4, 81920, 163839, 11744420, 6553560, 1.792067
4, 163840, 327679, 23485804, 13107160, 1.791830
8, 384, 384, 27510, 15360, 1.791016
8, 1152, 1152, 83126, 46080, 1.803950
8, 10240, 10240, 746818, 409600, 1.823286
8, 15360, 15360, 1128460, 614400, 1.836686
8, 40960, 40960, 3038980, 1638400, 1.854846
8, 81920, 81920, 6057518, 3276800, 1.848608
8, 163840, 163840, 11957804, 6553600, 1.824616
16, 384, 384, 27556, 15360, 1.794010
16, 1152, 1152, 83238, 46080, 1.806380
16, 10240, 10240, 784656, 409600, 1.915664
16, 15360, 15360, 1388144, 614400, 2.259349
16, 40960, 40960, 3913422, 1638400, 2.388563
16, 81920, 81920, 7925236, 3276800, 2.418590
16, 163840, 163840, 15485698, 6553600, 2.362930
32, 384, 384, 28108, 15360, 1.829948
32, 1152, 1152, 83576, 46080, 1.813715
32, 10240, 10240, 851774, 409600, 2.079526
32, 15360, 15360, 1368164, 614400, 2.226829
32, 40960, 40960, 3484044, 1638400, 2.126492
32, 81920, 81920, 8060472, 3276800, 2.459861
32, 163840, 163840, 28092316, 6553600, 4.286547
64, 384, 384, 28110, 15360, 1.830078
64, 1152, 1152, 95302, 46080, 2.068186
64, 10240, 10240, 860770, 409600, 2.101489
64, 15360, 15360, 1218286, 614400, 1.982887
64, 40960, 40960, 3728432, 1638400, 2.275654
64, 81920, 81920, 14433372, 3276800, 4.404716
64, 163840, 163840, 32696920, 6553600, 4.989154
128, 384, 384, 29356, 15360, 1.911198
128, 1152, 1152, 97396, 46080, 2.113628
128, 10240, 10240, 826906, 409600, 2.018813
128, 15360, 15360, 1263182, 614400, 2.055960
128, 40960, 40960, 6762686, 1638400, 4.127616
128, 81920, 81920, 13987024, 3276800, 4.268501
128, 163840, 163840, 28529816, 6553600, 4.353304
256, 384, 384, 30318, 15360, 1.973828
256, 1152, 1152, 108766, 46080, 2.360373
256, 10240, 10240, 1002814, 409600, 2.448276
256, 15360, 15360, 2485922, 614400, 4.046097
256, 40960, 40960, 7954162, 1638400, 4.854835
256, 81920, 81920, 16015226, 3276800, 4.887459
256, 163840, 163840, 32057410, 6553600, 4.891573
512, 384, 384, 33978, 15360, 2.212109
512, 1152, 1152, 105040, 46080, 2.279514
512, 10240, 10240, 2224504, 409600, 5.430918
512, 15360, 15360, 3452456, 614400, 5.619232
512, 40960, 40960, 9230424, 1638400, 5.633804
512, 81920, 81920, 18370996, 3276800, 5.606383
512, 163840, 163840, 36815098, 6553600, 5.617538
1024, 384, 384, 44620, 15360, 2.904948
1024, 1152, 1152, 98692, 46080, 2.141753
1024, 10240, 10240, 2535680, 409600, 6.190625
1024, 15360, 15360, 3581716, 614400, 5.829616
1024, 40960, 40960, 9848914, 1638400, 6.011300
1024, 81920, 81920, 19913480, 3276800, 6.077112
1024, 163840, 163840, 39750856, 6553600, 6.065499
2048, 384, 384, 44312, 15360, 2.884896
2048, 1152, 1152, 98938, 46080, 2.147092
2048, 10240, 10240, 2561768, 409600, 6.254316
2048, 15360, 15360, 3996656, 614400, 6.504974
2048, 40960, 40960, 10714320, 1638400, 6.539502
2048, 81920, 81920, 21509884, 3276800, 6.564296
2048, 163840, 163840, 43278122, 6553600, 6.603717
4096, 384, 384, 38558, 15360, 2.510286
4096, 1152, 1152, 215038, 46080, 4.666623
4096, 10240, 10240, 2574646, 409600, 6.285757
4096, 15360, 15360, 3823206, 614400, 6.222666
4096, 40960, 40960, 10470448, 1638400, 6.390654
4096, 81920, 81920, 20903212, 3276800, 6.379154
4096, 163840, 163840, 41472686, 6553600, 6.328230
8192, 384, 384, 43004, 15360, 2.799740
8192, 1152, 1152, 344238, 46080, 7.470443
8192, 10240, 10240, 3446132, 409600, 8.413408
8192, 15360, 15360, 5195784, 614400, 8.456680
8192, 40960, 40960, 13928256, 1638400, 8.501133
8192, 81920, 81920, 27485070, 3276800, 8.387778
8192, 163840, 163840, 55193842, 6553600, 8.421912
